run_id,benchmark,kernel,group,arm,model,class,repeat,dp_alone_trials,dp_alone_outcomes,dp_alone_parallel,dp_alone_speedup_vs_seq,agent_outcome,agent_speedup_vs_seq,agent_vs_dp_alone,timing_comparable,rewrites_kept,llm_calls,verdict
v3_pilot_1,tsvc/s112,s112,,no_evidence,claude-haiku-4-5-20251001,R,1,5,"no-change,no-change,no-change,no-change,no-change",False,1.0,FASTER,1.123,1.123,True,1,1,gained
v3_pilot_1,tsvc/s112,s112,,no_evidence,claude-haiku-4-5-20251001,R,2,5,"no-change,no-change,no-change,no-change,no-change",False,1.0,FASTER,1.342,1.342,True,1,1,gained
v3_pilot_1,tsvc/s112,s112,,no_evidence,claude-haiku-4-5-20251001,R,3,5,"no-change,no-change,no-change,no-change,no-change",False,1.0,FASTER,1.335,1.335,True,1,4,gained
v3_pilot_1,tsvc/s121,s121,,no_evidence,claude-haiku-4-5-20251001,R,1,5,"no-change,no-change,no-change,no-change,no-change",False,1.0,FASTER,1.376,1.376,True,1,1,gained
v3_pilot_1,tsvc/s121,s121,,no_evidence,claude-haiku-4-5-20251001,R,2,5,"no-change,no-change,no-change,no-change,no-change",False,1.0,FASTER,1.739,1.739,True,1,4,gained
v3_pilot_1,tsvc/s121,s121,,no_evidence,claude-haiku-4-5-20251001,R,3,5,"no-change,no-change,no-change,no-change,no-change",False,1.0,FASTER,1.19,1.19,True,1,1,gained
v3_pilot_1,tsvc/s1213,s1213,,no_evidence,claude-haiku-4-5-20251001,R,1,5,"no-change,no-change,no-change,no-change,no-change",False,1.0,FASTER,2.8,2.8,True,1,2,gained
v3_pilot_1,tsvc/s1213,s1213,,no_evidence,claude-haiku-4-5-20251001,R,2,5,"no-change,no-change,no-change,no-change,no-change",False,1.0,FASTER,1.216,1.216,True,1,3,gained
v3_pilot_1,tsvc/s1213,s1213,,no_evidence,claude-haiku-4-5-20251001,R,3,5,"no-change,no-change,no-change,no-change,no-change",False,1.0,FASTER,2.746,2.746,True,1,1,gained
v3_pilot_2,tsvc/s211,s211,,no_evidence,claude-haiku-4-5-20251001,R,1,5,"no-change,no-change,no-change,no-change,no-change",False,1.0,parallel-not-faster,1.092,1.092,True,1,5,gained-not-faster
v3_pilot_2,tsvc/s211,s211,,no_evidence,claude-haiku-4-5-20251001,R,2,5,"no-change,no-change,no-change,no-change,no-change",False,1.0,FASTER,1.569,1.569,True,1,1,gained
v3_pilot_2,tsvc/s211,s211,,no_evidence,claude-haiku-4-5-20251001,R,3,5,"no-change,no-change,no-change,no-change,no-change",False,1.0,parallel-not-faster,1.063,1.063,True,1,1,gained-not-faster
v3_pilot_2,tsvc/s212,s212,,no_evidence,claude-haiku-4-5-20251001,R,1,5,"no-change,no-change,no-change,no-change,no-change",False,1.0,FASTER,3.186,3.186,True,1,2,gained
v3_pilot_2,tsvc/s212,s212,,no_evidence,claude-haiku-4-5-20251001,R,2,5,"no-change,no-change,no-change,no-change,no-change",False,1.0,FASTER,1.345,1.345,True,1,1,gained
v3_pilot_2,tsvc/s212,s212,,no_evidence,claude-haiku-4-5-20251001,R,3,5,"no-change,no-change,no-change,no-change,no-change",False,1.0,FASTER,2.086,2.086,True,1,1,gained
