run_id,benchmark,arm,model,repeat,phase,stage,count
e2c_ab_2,tsvc/s212,full_b1,claude-haiku-4-5-20251001,2,A,correctness,1
e2c_ab_2,tsvc/s212,full_b1,claude-haiku-4-5-20251001,3,A,correctness,1
e2c_ab_2,tsvc/s212,no_evidence_b1,claude-haiku-4-5-20251001,1,A,correctness,1
e2c_ab_2,tsvc/s241,full_b1,claude-haiku-4-5-20251001,2,A,correctness,1
e2c_ab_2,tsvc/s241,full_b1,claude-haiku-4-5-20251001,3,A,correctness,1
e2c_ab_2,tsvc/s241,no_evidence_b1,claude-haiku-4-5-20251001,1,A,correctness,2
e2c_ab_2,tsvc/s241,no_evidence_b1,claude-haiku-4-5-20251001,1,B,tsan,1
e2c_ab_2,tsvc/s241,no_evidence_b1,claude-haiku-4-5-20251001,5,A,correctness,1
e2c_ab_2,tsvc/s243,no_evidence_b1,claude-haiku-4-5-20251001,3,A,correctness,1
e2c_ab_2,tsvc/s243,no_evidence_b1,claude-haiku-4-5-20251001,3,B,tsan,1
e2c_ab_2,tsvc/s244,full_b1,claude-haiku-4-5-20251001,1,A,correctness,1
e2c_ab_2,tsvc/s244,full_b1,claude-haiku-4-5-20251001,1,B,tsan,1
e2c_ab_2,tsvc/s244,full_b1,claude-haiku-4-5-20251001,2,A,correctness,2
e2c_ab_2,tsvc/s244,full_b1,claude-haiku-4-5-20251001,2,B,tsan,1
e2c_ab_2,tsvc/s244,full_b1,claude-haiku-4-5-20251001,3,B,tsan,1
e2c_ab_2,tsvc/s244,full_b1,claude-haiku-4-5-20251001,4,B,tsan,1
e2c_ab_2,tsvc/s244,full_b1,claude-haiku-4-5-20251001,5,A,correctness,1
e2c_ab_2,tsvc/s244,full_b1,claude-haiku-4-5-20251001,5,B,tsan,1
e2c_ab_2,tsvc/s244,no_evidence,claude-haiku-4-5-20251001,1,B,tsan,1
e2c_ab_2,tsvc/s244,no_evidence,claude-haiku-4-5-20251001,3,A,correctness,1
e2c_ab_2,tsvc/s244,no_evidence,claude-haiku-4-5-20251001,3,B,tsan,1
e2c_ab_2,tsvc/s244,no_evidence_b1,claude-haiku-4-5-20251001,2,A,correctness,1
e2c_ab_2,tsvc/s244,no_evidence_b1,claude-haiku-4-5-20251001,2,B,tsan,1
e2c_ab_2,tsvc/s244,no_evidence_b1,claude-haiku-4-5-20251001,5,A,correctness,1
e2c_ab_2,tsvc/s252,full_b1,claude-haiku-4-5-20251001,1,B,tsan,1
e2c_ab_2,tsvc/s252,full_b1,claude-haiku-4-5-20251001,3,B,tsan,1
e2c_ab_2,tsvc/s252,full_b1,claude-haiku-4-5-20251001,4,B,tsan,1
e2c_ab_2,tsvc/s252,full_b1,claude-haiku-4-5-20251001,5,B,tsan,1
e2c_ab_2,tsvc/s252,no_evidence,claude-haiku-4-5-20251001,1,B,tsan,1
e2c_ab_2,tsvc/s252,no_evidence,claude-haiku-4-5-20251001,2,B,tsan,2
e2c_ab_2,tsvc/s252,no_evidence,claude-haiku-4-5-20251001,3,B,tsan,1
e2c_ab_2,tsvc/s252,no_evidence,claude-haiku-4-5-20251001,4,B,tsan,1
e2c_ab_2,tsvc/s252,no_evidence,claude-haiku-4-5-20251001,5,B,tsan,1
e2c_ab_2,tsvc/s252,no_evidence_b1,claude-haiku-4-5-20251001,1,B,tsan,1
e2c_ab_2,tsvc/s252,no_evidence_b1,claude-haiku-4-5-20251001,2,B,tsan,1
e2c_ab_2,tsvc/s252,no_evidence_b1,claude-haiku-4-5-20251001,3,B,tsan,1
e2c_ab_2,tsvc/s252,no_evidence_b1,claude-haiku-4-5-20251001,4,B,tsan,1
e2c_ab_2,tsvc/s252,no_evidence_b1,claude-haiku-4-5-20251001,5,B,tsan,1
