run,trial,benchmark,n,phase,region,gate_passed,gate_stage,self_annotated,pragmas,replay,applied_on,source_changed,pragmas_added,verify_size,oracle_outcome,caught_by,verify_s
e2e_review_2026-09-18,e2e_review_2026-09-18/e2e_p2,,0,A,0:0,True,accepted,True,1,no base program,,,,,,,
e2e_review_2026-09-18,e2e_review_2026-09-18/e2e_p2,,1,A,1:6,True,accepted,True,1,no base program,,,,,,,
e2e_review_2026-09-18,e2e_review_2026-09-18/e2e_p2,,2,A,1:17,False,clause,True,2,no base program,,,,,,,
e2e_review_2026-09-18,e2e_review_2026-09-18/e2e_p2,,3,A,1:17,True,accepted,True,2,no base program,,,,,,,
e2e_review_2026-09-18,e2e_review_2026-09-18/e2e_p3,,0,A,0:0,True,accepted,True,1,no base program,,,,,,,
e2e_review_2026-09-18,e2e_review_2026-09-18/e2e_p3,,1,A,1:17,True,accepted,True,1,no base program,,,,,,,
e2e_review_2026-09-18,e2e_review_2026-09-18/e2e_proj,,0,A,0:0,True,accepted,True,1,no base program,,,,,,,
e2e_review_2026-09-18,e2e_review_2026-09-18/is_rerun,,0,B,1:97,False,tsan,,0,no base program,,,,,,,
e2e_review_2026-09-18,e2e_review_2026-09-18/is_rerun,,1,B,1:33,False,tsan,,0,no base program,,,,,,,
e2e_review_2026-09-18,e2e_review_2026-09-18/is_rerun,,2,B,1:197,False,clause,,0,no base program,,,,,,,
e2e_review_2026-09-18,e2e_review_2026-09-18/is_rerun,,3,B,1:210,False,tsan,,0,no base program,,,,,,,
e2e_review_2026-09-18,e2e_review_2026-09-18/matrix_prefix/discopop_gate,calib/prefix,0,B,1:48,False,tsan,,0,patch does not apply,,,,,,,
e2e_review_2026-09-18,e2e_review_2026-09-18/matrix_prefix/dp_annotates,calib/prefix,0,A,1:52,False,correctness,False,0,patch does not apply,,,,,,,
e2e_review_2026-09-18,e2e_review_2026-09-18/matrix_prefix/full,calib/prefix,0,A,1:52,False,clause,True,2,no program (rejected before a build),,,,,,,
e2e_review_2026-09-18,e2e_review_2026-09-18/matrix_prefix/full,calib/prefix,1,A,1:52,False,correctness,True,2,verified,original,True,2,SMALL,parallel-speed-not-measurable,,4.1
