loop,source,class,result,expert_pragmas,candidates,applied,rejected_by,dropped_slower,marginals,settle_ok,seconds,detail
s112,evaluation/agent/results/E01b_bare_llm/checks/e1b_v2_sources/e1_r_a_tsvc_s112@4_final.c,R,KEPT,2,3,2,{'tsan': 1},0,"['1.04', '3.70', '1.04', '3.70']",True,114,
s121,evaluation/agent/results/E01b_bare_llm/checks/e1b_v2_sources/e1_r_a_tsvc_s121@1_final.c,R,KEPT,2,3,2,{'tsan': 1},0,"['1.00', '4.71', '1.00', '4.71']",True,108,
s121,evaluation/agent/results/E01b_bare_llm/checks/e1b_v2_sources/e1_r_a_tsvc_s121@2_final.c,R,KEPT,2,3,2,{'tsan': 1},0,"['0.66', '0.72', '0.66', '0.72']",True,159,
s1213,evaluation/agent/results/E01b_bare_llm/checks/e1b_v2_sources/e1_r_a_tsvc_s1213@1_final.c,R,KEPT,2,3,2,{'tsan': 1},0,"['0.80', '0.95', '0.80', '0.95']",True,177,
s1213,evaluation/agent/results/E01b_bare_llm/checks/e1b_v2_sources/e1_r_a_tsvc_s1213@3_final.c,R,KEPT,2,3,2,{'tsan': 1},0,"['1.09', '4.07', '1.09', '4.07']",True,122,
s121,evaluation/agent/results/E01b_bare_llm/checks/e1b_v2_sources/e1_r_a_tsvc_s121@4_final.c,R,ALL_REJECTED,1,2,0,{'tsan': 1},0,['0.79'],False,208,
s121,evaluation/agent/results/E01b_bare_llm/checks/e1b_v2_sources/e1_r_a_tsvc_s121@5_final.c,R,KEPT,2,3,2,{'tsan': 1},0,"['0.76', '0.78', '0.76', '0.78']",True,159,
s127,evaluation/agent/results/E01b_bare_llm/checks/e1b_v2_sources/e1_r_a_tsvc_s127@1_final.c,R,KEPT,1,2,1,{'tsan': 1},0,"['4.23', '4.23']",True,66,
s244,evaluation/agent/results/E01b_bare_llm/checks/e1b_v2_sources/e1_r_a_tsvc_s244@1_final.c,R,KEPT,3,4,3,{'tsan': 1},0,"['0.63', '0.55', '0.53', '0.63', '0.55', '0.53']",True,401,
s281,evaluation/agent/results/E01b_bare_llm/checks/e1b_v2_sources/s281_rep2_both_halves.c,R,KEPT,2,3,2,{'tsan': 1},0,"['0.73', '0.53', '0.73', '0.53']",True,156,
s281,evaluation/agent/results/E01b_bare_llm/checks/e1b_v2_sources/s281_rep3_both_halves.c,R,KEPT,2,3,2,{'tsan': 1},0,"['0.68', '0.59', '0.68', '0.59']",True,159,
s281,evaluation/agent/results/E01b_bare_llm/checks/e1b_v2_sources/s281_rep4_both_halves.c,R,KEPT,2,3,2,{'tsan': 1},0,"['0.55', '0.84', '0.55', '0.84']",True,158,
s281,evaluation/agent/results/E01b_bare_llm/checks/e1b_v2_sources/s281_rep5_both_halves.c,R,KEPT,2,3,2,{'tsan': 1},0,"['0.65', '0.58', '0.65', '0.58']",True,151,
